Time,X,Y,Z,Heart Rate,Labels
15,6.1294404,6.7671049,12.0081636,51.25,0
30,6.1112061,6.9299468,11.962906,52.66666667,0
45,6.0984498,6.9087063,11.9256594,52.33333333,0
60,6.1014405,6.9117277,11.9350127,49.33333333,0
75,6.0931093,6.9156339,11.9331208,51,0
90,6.0880282,6.9367826,11.9270173,53.33333333,0
105,6.0673371,7.086975,11.9193725,54,0
120,6.0590668,7.0201264,11.8988494,53.66666667,0
135,6.0700684,7.0847167,11.8742219,56.66666667,0
150,6.0497896,7.0793456,11.8698578,64.33333333,0
165,6.0470123,7.0556335,11.8707886,51.5,0
180,6.0541992,7.007843,11.8928986,51.75,0
195,6.0548096,7.0038451,11.8954773,53,0
210,6.048828,7.0033723,11.8944702,55.66666667,0
225,6.0647124,7.0433197,11.9001313,58.5,0
240,6.0754854,7.0496824,11.9016571,58.75,0
255,6.0522766,7.0073396,11.9037783,59.33333333,0
270,6.0621796,7.0126649,11.9185027,59,0
285,6.0529327,6.9963838,11.9181214,55.66666667,0
300,6.0495606,6.9772189,11.9202269,52.33333333,0
315,6.0479277,7.0023194,11.926422,53,0
330,6.0322113,7.0095519,11.9682922,56.25,0
345,5.9980011,6.9745484,11.9481505,57,0
360,5.9922485,6.9601744,11.9532011,54,0
375,5.9966582,6.9730073,11.9723662,55.5,0
390,6.0480499,7.2904662,12.1131288,57.33333333,0
405,5.9982452,7.1092987,11.8919526,57.33333333,0
420,9.8349457,9.965393,11.3918306,54.66666667,0
435,5.7480775,12.7949829,13.2762147,54,0
450,0.8287507,8.7346954,12.4071199,58.33333333,0
465,0.5767975,7.6533202,12.8339083,59,0
480,0.5728759,7.6577762,12.8325042,56.25,0
495,0.5715027,7.6587983,12.823166,50.5,0
510,0.5641937,7.6666411,12.8198851,51.66666667,0
525,0.5588226,7.6774903,12.8213807,59.66666667,0
540,0.5603026,7.6775361,12.8144075,62,0
555,0.5635374,7.7052154,12.7995605,60.5,0
570,0.5580444,7.7101439,12.7986908,59.33333333,0
585,0.5571745,7.7136231,12.7927706,57,0
600,0.5563049,7.7338257,12.7846221,57,0
615,0.5572815,7.7225191,12.7860264,58,0
630,0.5597842,7.7308655,12.7861331,58,0
645,0.5552672,7.7334136,12.7830201,58.66666667,0
660,0.5568236,7.7318726,12.7830506,59,0
675,0.5578919,7.7388151,12.7739259,58,0
690,0.5559693,7.7446592,12.7773896,58,0
705,0.554947,7.7432097,12.7758638,57.66666667,0
720,0.5470888,7.7441862,12.7689512,57,0
735,0.5470885,7.7511441,12.7660219,57,0
750,0.5445709,7.7559661,12.7835846,57.33333333,0
765,0.5425415,7.754547,12.7840882,58,0
780,0.5449982,7.7589262,12.7855529,58,0
795,0.54451,7.756973,12.784134,59,0
810,0.548935,7.7588803,12.7928315,59,0
825,0.5454712,7.7565153,12.7879488,59,0
840,0.5445407,7.7643279,12.7856444,59,0
855,0.5485075,7.767349,12.7802583,59,0
870,0.5489805,7.7663266,12.7794342,59,0
885,0.5524597,7.7683257,12.7784425,58.33333333,0
900,0.5514984,7.7747494,12.7745209,58,0
915,0.5473939,7.8137208,12.7541047,58,0
930,0.5471803,7.8690033,12.7266695,57.5,0
945,0.5193939,7.8760528,12.7145233,57,0
960,0.5217287,7.8808898,12.7180023,57,0
975,0.545761,7.8664399,12.7368319,60,0
990,0.5457766,7.8625489,12.7324218,63.33333333,0
1005,0.5461884,7.8590852,12.7485808,66.33333333,0
1020,0.5404359,7.8808287,12.725113,69,0
1035,0.5401002,7.8824157,12.7158355,65.33333333,0
1050,0.5458983,7.8848114,12.7154391,60.33333333,0
1065,0.5414886,7.8867799,12.7163695,60,0
1080,0.542084,7.8784791,12.7163238,59.33333333,0
1095,0.5385743,7.8888092,12.710068,59,0
1110,0.5361482,7.8829039,12.714737,59,0
